Name,Age,Date_of_Birth,Gender,Marital_Status,BMI,Practicing_Hours_2024_Jan_to_Aug,Dietary_Preference
Christopher Phillips,107,1916-04-11,female,Single,30.31,214,Vegetarian
Leroy Pacheco,-77,1990-09-04,male,Single,30.17,232,nonveg
Taylor Hodge,87,1936-05-24,male,married,40.66,252,Vegetarian
Douglas Willis,52,1971-12-15,m,married,25.28,61,v
Sean Allen,109,1914-05-22,m,Married,32.47,73,veg
Peggy Johnson,107,1916-11-22,F,s,10.65,485,Non-Vegetarian
Eddie Murray,63,1960-12-13,female,s,14.25,-8,Vegetarian
Tracie Morrison,27,1996-02-29,F,Single,26.19,496,veg
Cody Garcia,17,2006-04-18,m,Married,45.66,326,veg
Barbara Curry,60,1959-02-09,female,Single,34.81,143,v
Jessica Waters DVM,58,1965-04-04,Female,M,17.93,466,nonveg
Susan Aguilar,19,2004-01-23,m,Married,23.59,12,v
Jose Vega,49,1974-08-10,m,single,48.99,186,Non-Vegetarian
Jessica Thompson,48,1975-07-19,m,Married,49.91,208,Non-Vegetarian
Anne Acosta,26,1976-07-18,F,s,20.02,173,Non Vegetarian
Randy Arnold,109,1914-10-27,Male,s,27.96,229,v
Rickey Thompson,62,1961-11-01,male,Single,34.47,10,nonveg
Ruben Brown,0,2023-05-20,male,Single,40.33,233,v
Tracy Willis,16,2007-02-11,F,Married,12.03,279,Vegetarian
Tammy Phelps,-33,1913-05-26,male,s,39.98,316,nv
Shane Lee,76,1947-01-05,male,s,22.39,444,v
Megan Allen,66,1957-05-23,Female,Married,45.35,225,Non-Vegetarian
Jennifer Evans,105,1918-08-02,male,married,43.21,321,nv
Aaron Thompson,77,1946-10-18,Female,Married,15.2,178,non-veg
Christina Wright,58,1908-08-21,Male,Single,19.31,394,non-veg
Stephanie Taylor,95,1928-05-20,Female,M,32.31,16,veg
Virginia Tapia,-98,1925-06-03,male,Single,25.39,150,veg
Carolyn Pittman,103,1920-03-10,male,married,12.04,369,v
Travis Paul Jr.,5,1926-03-07,m,Single,45.19,335,nv
Robert Porter,83,1940-10-30,m,single,31.85,455,nonveg
Heather Mccoy,8,2015-12-28,Male,s,28.99,479,v
Steven Curry,40,1983-05-20,Female,married,29.32,126,nonveg
Robert Johns,81,1942-08-06,male,Single,28.91,16,nonveg
Steven Phillips,12,2011-10-23,Male,s,13.19,365,non-veg
Candice Hunter,17,2006-05-20,Male,Single,44.13,39,Non-Vegetarian
Sarah Stanley,113,1910-06-25,male,s,21.97,192,nv
Laura Lee,101,1922-04-06,F,married,40.26,249,nv
Heidi Brown,33,1990-06-25,F,single,12.81,23,Non Vegetarian
Jenna Flores,53,1970-12-18,Male,married,48.95,324,nv
Kylie Brown,16,2007-11-04,Male,single,15.91,35,nonveg
Randy Kramer,31,1992-11-01,female,married,33.04,200,nv
Nicholas Bowman,52,1971-11-27,F,M,49.2,60,Vegetarian
Lindsey Weeks,63,1960-04-04,Female,single,24.12,434,veg
Gloria Pierce,88,1925-04-08,Male,Single,23.29,322,v
Gina Lee,77,1946-06-13,Female,single,40.31,210,nv
Mason Chase,42,1981-02-25,m,married,42.29,288,veg
Joseph Kramer,41,1982-05-03,female,Married,13.13,441,veg
Monique Rios,-28,1962-08-27,male,M,29.27,343,v
Bryan Reynolds,36,1987-12-13,Male,s,28.51,302,veg
Howard Martinez,8,2015-11-10,Female,M,22.98,411,Non-Vegetarian
Max Carter,73,1950-03-29,m,married,22.43,55,Vegetarian
Jay Leon,75,1948-08-25,Female,s,22.22,256,Vegetarian
Cheryl Maddox,67,1967-03-17,male,M,37.9,485,Non Vegetarian
Hannah Jones,24,1999-09-04,F,married,31.66,253,v
Angela Norman,51,1972-10-24,Female,M,26.13,116,Non Vegetarian
Molly Gilbert,-5,2003-10-13,male,M,37.29,244,veg
Christopher Walker,61,1962-09-14,male,married,20.95,93,v
Jennifer Gonzalez,96,1927-07-01,Female,M,22.62,499,v
Eric Lopez,114,1909-04-08,F,single,10.59,470,nv
Brian Peterson,106,1917-08-20,Male,M,44.79,223,v
Tracy Porter,97,1926-02-19,m,s,40.88,192,v
Marie Lewis,25,1998-02-05,F,single,29.54,119,non-veg
Catherine Jones,113,1910-02-08,female,Single,24.45,251,Vegetarian
Lindsey Larsen,107,1916-02-18,F,Married,39.13,156,Non Vegetarian
Michael Ramirez,88,1935-07-23,Female,M,35.32,475,Non-Vegetarian
Brittany Willis,8,2015-01-23,female,married,28.3,480,v
Katie Robbins,67,1956-09-19,female,single,14.4,27,nv
Erica Freeman,64,1959-05-25,F,single,23.23,498,Non Vegetarian
Lisa Aguilar,94,1929-06-28,Male,Single,41.05,195,non-veg
Jerry Myers,42,1981-01-28,m,Married,14.25,369,v
Mr. Brian Wilson,21,2002-03-25,female,Married,27.63,317,Non-Vegetarian
Thomas Rodriguez,78,1945-03-03,female,s,35.56,135,Vegetarian
Lauren Simmons,107,1916-01-19,m,single,37.95,242,Vegetarian
Jennifer Simmons,66,1957-04-16,Male,M,42.29,15,non-veg
Gabriel Davis,61,1962-09-30,F,Single,32.79,416,v
Taylor Nash,91,1932-12-13,Female,Married,43.35,408,nonveg
Mikayla Foster,60,1963-06-03,m,single,14.91,193,non-veg
Keith Daniel,51,1972-12-11,m,M,49.59,318,nv
Joseph Olsen,38,1985-08-02,F,single,33.8,55,Non-Vegetarian
Lonnie Watson,21,2002-01-18,Female,Married,48.67,100,Non Vegetarian
Erin Edwards,35,1988-06-09,Female,single,11.56,163,nonveg
Samuel Perry,52,1971-07-08,female,M,43.49,490,Non Vegetarian
Latasha Byrd,1,2022-12-21,m,Married,46.21,483,Vegetarian
William Anderson,79,1944-09-10,Male,married,33.45,457,v
Ronald Newton,11,2012-01-20,Male,M,17.68,169,nv
Christine Cortez,97,2003-10-28,F,s,49.5,253,nonveg
Alec Mills,-43,1995-12-12,male,single,10.22,488,Non-Vegetarian
Michael Curtis,92,1931-02-25,Female,single,32.2,248,nv
Ricardo Flowers,80,1943-08-04,Female,married,18.39,106,Non-Vegetarian
Randall Ross,42,1981-07-24,Male,s,29.21,454,Non Vegetarian
Edward Owens,27,1996-01-20,female,Married,44.4,326,Vegetarian
Nicole Adams,95,1928-10-15,m,M,24.11,89,veg
Gordon Rodriguez,78,1945-09-02,Male,single,42.38,146,veg
Jenna Smith,114,1909-08-31,female,Single,22.06,125,veg
Julie Tucker,-98,1958-09-07,female,M,40.16,441,non-veg
Jason Smith,43,1918-01-23,m,M,18.91,435,non-veg
Tonya Johnson,89,1934-10-15,F,married,13.15,344,non-veg
Kimberly Park,18,2005-05-06,male,s,28.17,500,v
Sara Davis,35,1955-02-21,male,single,17.47,233,veg
Michael Cole,92,1931-09-30,m,M,31.77,17,Vegetarian
Raymond Leon,108,1915-04-14,F,s,16.45,302,nv
Lacey Gray,4,2019-09-14,male,s,24.57,483,Non Vegetarian
Heather Scott,-9,1943-04-11,male,Single,11.03,333,non-veg
Ryan Gibson,81,1942-05-20,m,Married,12.73,157,Vegetarian
Scott Stevens,70,1953-05-25,F,Married,40.41,78,Vegetarian
Jennifer Clark,-55,2011-01-31,male,single,45.83,42,veg
Nichole Ellis,101,1922-04-29,m,s,10.76,55,veg
Mary Jackson,86,1937-09-01,female,married,40.33,43,v
Charles Hebert,72,1951-11-23,Male,Single,30.16,172,veg
Robin Baird,55,1968-12-20,m,M,49.87,22,nv
Rachel Richmond,41,1982-03-05,Female,married,40.05,288,Non Vegetarian
Cassandra Walter,75,1948-04-20,Female,married,14.35,44,Non Vegetarian
Martha Haynes,-96,1993-06-07,male,M,28.87,173,nonveg
Cameron Mejia,-41,2009-02-14,female,married,19.66,43,Non Vegetarian
Tammy Rogers,26,1997-03-12,Female,s,30.91,15,veg
Andrew Barrett,96,1945-04-06,female,married,30.29,179,nonveg
Robert Williams,79,1944-02-07,female,single,49.66,270,Non Vegetarian
Jimmy Elliott,25,1973-03-11,male,M,41.98,470,Non Vegetarian
David Branch,82,1941-07-16,Female,married,12.27,466,Non Vegetarian
Kayla Singleton,54,1969-02-11,female,Single,17.87,206,nv
Margaret Schneider,66,1957-04-30,male,Single,48.51,170,veg
Sharon Valentine,103,1920-02-19,Male,Single,33.16,333,veg
Catherine Thomas,33,1990-05-17,m,married,26.04,318,non-veg
Shane Nguyen,35,1988-09-25,m,Single,15.78,474,Non-Vegetarian
Laura Osborne,101,1922-06-13,Male,married,42.19,396,nonveg
Richard Kemp,72,2006-12-24,female,s,25.85,347,non-veg
Susan Blevins DDS,74,1909-10-28,F,Single,24.37,494,Non-Vegetarian
Ann Nguyen,-20,1926-06-09,F,single,22.21,300,non-veg
Nathan Alvarez,72,1951-01-06,m,married,48.8,498,Vegetarian
Michael Johnson,63,1960-09-17,female,Single,35.8,198,nonveg
Emily Parsons,-88,1923-10-20,F,Single,13.06,259,Non Vegetarian
Lori Hines,11,2012-01-31,F,M,13.52,60,veg
Kevin Browning,111,1912-07-19,female,Single,42.66,58,Non Vegetarian
Mr. Bobby Wright,8,2015-09-18,male,Single,24.64,187,v
Amy Jordan,104,1919-04-17,Female,Single,26.95,244,v
Nathan Goodwin,52,1971-11-23,F,M,29.86,80,Non-Vegetarian
Daniel Mckenzie,53,1970-04-19,Male,M,37.56,435,nonveg
Maria Soto,1,2022-08-13,m,Married,14.92,385,veg
Arthur Mata,72,1951-02-16,female,married,11.44,366,Non Vegetarian
Steve Black,82,1941-12-30,Female,s,45.53,483,veg
Gina Brown,93,1930-09-17,Female,married,38.07,196,nonveg
Erica Douglas,78,1945-01-03,m,married,48.72,499,nonveg
Megan Horton,27,1996-12-14,Female,s,15.8,365,nonveg
Jeremy Hill,-51,2022-01-12,female,Married,15.62,-3,Non-Vegetarian
Joseph Nunez,109,1914-05-31,m,Married,19.05,78,veg
Bradley Jones,-48,1983-04-06,male,s,15.81,292,nonveg
Justin Smith,86,1937-03-10,m,married,23.33,121,nonveg
Dennis James,82,1941-02-10,Female,married,27.04,195,v
Billy Hoffman,11,1976-03-08,female,married,40.87,496,v
Dawn Ward,7,2016-07-05,Male,Married,11.14,421,Vegetarian
Denise Smith,-53,2017-08-22,m,s,21.05,110,veg
Christopher Robbins,23,2000-06-20,m,s,34.09,220,nonveg
Courtney Murray,87,1935-03-07,m,s,43.28,222,non-veg
Brian Taylor,51,1972-02-19,m,Single,47.07,258,veg
Benjamin Young,24,1999-09-28,m,s,14.57,475,Non-Vegetarian
Tanya Johnson,84,1939-01-28,Female,single,36.75,110,veg
Becky Johnson,48,1975-05-29,male,Married,19.94,495,veg
Raymond Watts,40,2023-08-17,F,Single,43.12,42,Non-Vegetarian
Patricia Lee,-70,1948-04-24,Male,married,19.56,328,non-veg
Randy White,115,1908-07-31,female,married,36.11,416,Non Vegetarian
Michelle Hancock,64,2005-01-07,m,s,18.45,70,non-veg
Amy Young,111,1912-11-25,Female,M,36.06,167,nv
Mr. Jorge Gonzales,112,1911-11-19,male,married,48.51,103,Non-Vegetarian
Tammy Kerr,98,1925-12-02,Male,married,39.47,295,v
Alison Pitts,72,1951-04-03,female,s,40.35,-8,Non Vegetarian
Cheryl Williams,91,1932-06-20,male,s,16.65,224,nonveg
Joseph Mueller,16,2007-04-14,m,s,44.31,494,v
Kyle Berger,100,1923-03-12,F,married,38.41,323,Vegetarian
Keith Cisneros DVM,85,1938-07-03,Male,M,11.11,11,veg
Justin Neal,34,1989-08-15,female,Married,46.94,104,Non-Vegetarian
Melinda Castro,108,1915-09-12,Male,Married,16.08,462,Non Vegetarian
Mrs. Ellen Swanson,58,1965-03-29,female,single,38.39,210,nonveg
Carla Kidd,14,2009-05-12,F,s,19.16,450,Non-Vegetarian
Emily Mcclain,92,1931-07-25,Male,Single,15.34,278,nonveg
Kimberly Graham,69,1954-04-11,male,s,45.93,-5,veg
Kimberly Jimenez,62,1961-01-11,Male,single,45.05,459,veg
Kristin Hubbard,31,1992-01-16,Female,Married,38.49,402,v
Robert Jenkins,97,1936-02-25,Female,Single,45.86,65,Non Vegetarian
Jared Thomas,56,1967-11-29,Female,single,20.54,49,non-veg
Matthew Castillo,113,1910-12-20,female,Married,23.35,421,Vegetarian
Alex Klein,-39,1925-04-16,female,Married,13.3,40,Vegetarian
Sheila Underwood,69,1954-10-28,F,M,24.09,459,nv
Joseph Turner,88,1935-06-28,F,single,45.8,275,Non Vegetarian
Gregory Massey,73,1950-09-18,Female,M,33.34,323,Non Vegetarian
Jessica Moore,69,1954-08-12,female,married,36.59,-6,Vegetarian
Olivia Moore,60,1963-03-16,m,M,21.04,93,Non-Vegetarian
Anthony Cruz,86,2001-11-13,Male,Single,21.82,23,v
Charles Johnson,27,1966-07-24,Female,Single,32.62,88,Non-Vegetarian
William Park,18,1912-06-17,male,married,45.84,454,non-veg
Rachel Thompson,43,1980-05-24,Female,M,13.02,-1,Vegetarian
Dorothy Haynes,52,1971-06-22,Male,married,10.21,323,nonveg
Rachel Wilson,3,2020-05-03,Female,s,16.29,134,Vegetarian
Vincent Garrett,-12,1999-07-26,Male,married,47.43,259,Non Vegetarian
Jerry Cline,14,2009-11-13,female,s,41.9,472,v
Alison Cook,36,1987-06-07,F,single,32.31,466,nv
Dana Butler,109,1914-07-30,male,married,17.06,321,nonveg
Tyler Grant,97,1926-02-08,Male,s,41.88,-2,non-veg
Laura Delgado,59,2007-08-20,male,M,40.78,217,veg
Krista Smith,27,1996-04-25,female,Married,10.43,179,nv
Elizabeth Solis,83,1940-12-02,male,single,49.08,340,nv
Dustin Crawford,113,1910-05-03,Male,M,24.14,282,non-veg
Hannah Harvey,25,1998-11-28,female,Single,32.29,82,non-veg
Michele Rodriguez,24,1999-03-13,m,married,49.85,115,Non-Vegetarian
Jacqueline May,22,2001-11-02,Male,s,36.99,72,Non Vegetarian
Tanya Garrison,-91,2004-08-16,Male,married,22.55,69,nv
Stephanie Campbell,4,2019-02-09,male,single,31.55,35,nonveg
Brian Sims,14,1953-12-27,m,single,40.34,76,nv
Joseph Singleton,-13,1953-07-26,female,Married,29.64,86,v
Jeffrey Miller,3,2020-09-22,F,M,44.93,273,v
Michael Williams,70,1953-08-03,male,Married,12.28,395,nonveg
Jennifer Clark,3,2020-09-16,Male,Married,31.31,343,v
Anthony Barry,91,1932-05-28,female,Single,29.0,164,Vegetarian
Mrs. Katherine Garcia,100,1923-10-11,male,married,11.66,348,v
Chad Rose,34,1989-01-18,Male,Single,33.02,209,v
Sharon Gray,17,2006-03-25,male,single,49.61,185,Vegetarian
Mr. Joshua Hill Jr.,28,1995-12-26,female,single,30.16,354,nonveg
Michael Bowers,-88,2009-01-16,Female,Married,13.64,6,veg
James Freeman,21,2002-01-09,F,Single,31.39,127,v
Lisa Clark,42,1981-02-04,Female,single,36.28,496,v
David Williams,87,1936-09-28,female,Single,35.97,26,nv
Tonya James,60,2012-05-18,Male,s,33.13,216,veg
Joyce Joseph,61,1941-12-13,Female,M,15.09,322,nonveg
Jennifer Leonard,104,1919-08-19,male,Single,15.04,461,veg
Cheryl Thompson,35,1988-10-03,female,s,22.09,307,non-veg
Gabrielle Mccoy,55,1968-10-10,Female,M,33.94,167,Vegetarian
James Walker,67,1956-07-24,female,Single,29.14,18,v
Mark Olsen,109,1914-04-17,Male,Single,23.83,226,nv
Greg Powers,35,1988-06-21,female,M,47.22,443,non-veg
Emma Andrews,39,1984-06-14,Male,married,18.4,83,nv
Jackson Walsh,42,1981-08-18,Male,married,35.64,442,nonveg
Joshua Wilson,101,1922-08-08,Male,Single,40.53,414,veg
Lauren Hunter,70,1977-09-02,m,M,47.26,315,Vegetarian
Pamela Guzman,56,1967-12-16,male,married,43.13,340,nv
James Green,81,1942-12-12,Female,M,21.6,209,non-veg
Gina Robinson,74,1949-08-11,F,Single,35.36,216,v
Lindsay Khan,17,1934-10-13,female,s,37.68,497,non-veg
Samuel Vasquez,23,2000-07-28,Male,single,43.07,219,Non Vegetarian
Jim Ryan,47,1976-07-23,F,s,41.83,332,non-veg
Eric Rice,29,1994-07-17,female,s,24.15,325,v
Edward Chung,-7,1919-05-22,Female,married,42.27,73,nv
Jeffrey Francis,46,1977-08-23,Male,s,28.74,209,Non-Vegetarian
Erin Myers,95,1928-09-06,Male,Married,27.77,413,Vegetarian
Sarah Mercado,64,1959-07-16,female,s,12.78,250,non-veg
Douglas Smith,18,2005-08-18,female,s,20.18,480,veg
Melissa Brown,83,1940-08-03,m,Married,35.84,366,nonveg
Sean Johnson,113,1910-09-28,Male,married,44.71,77,v
Pamela Perez,58,1965-08-13,F,married,13.35,226,Non Vegetarian
Randy Mann,85,1938-10-14,Female,s,18.71,277,Non-Vegetarian
Rebecca Jones,57,1966-01-10,m,Single,45.12,233,non-veg
Steven Long,94,1929-01-17,F,Married,48.72,449,Vegetarian
Lauren Pena,88,1935-03-19,Male,Single,37.57,430,Non Vegetarian
Peter Huffman,96,1927-01-04,m,married,29.68,367,nv
Teresa Mendoza,8,2015-05-30,female,Married,15.42,399,Vegetarian
Angela Mcgee,37,1986-10-31,F,Married,39.17,464,Non Vegetarian
Sarah Rice,-29,2017-12-05,male,M,34.16,233,v
Charles Hansen DDS,46,1977-09-06,Male,s,47.22,163,veg
Holly Mckinney,75,1948-04-10,Female,Single,18.04,26,veg
Bradley Johnston,4,2019-04-20,female,married,22.34,145,Non-Vegetarian
Jared Lawson,58,1965-12-31,F,s,23.01,281,Vegetarian
Hannah Warren,2,1998-12-05,F,single,38.48,33,v
Christine Smith,24,1999-07-04,female,Married,41.59,256,Non Vegetarian
Jennifer Graham,73,1950-10-12,Female,Single,17.89,59,Non Vegetarian
Jeffrey Ball,58,1965-07-30,m,married,16.55,207,Vegetarian
Melissa Hamilton,62,1961-06-28,Male,s,15.81,106,Vegetarian
Matthew Doyle,100,1923-12-31,Male,married,39.65,75,non-veg
Tamara Harris,62,1961-04-20,m,single,26.84,114,Non-Vegetarian
Justin Rose,-14,2012-06-12,Female,Single,24.92,4,non-veg
John Cherry,112,1911-01-23,male,single,19.56,246,non-veg
Daniel Rubio,111,1912-05-15,female,Married,35.87,177,nonveg
Mary Hawkins,8,2015-02-12,Female,s,20.55,317,nonveg
Michael Landry,38,1985-03-28,Female,M,31.91,265,Vegetarian
Michael Washington,65,1958-10-25,m,married,46.59,59,nv
Dawn Griffin,107,1916-11-03,Male,s,11.42,432,Non Vegetarian
Michelle Lewis,20,2003-03-09,female,single,13.27,367,veg
Cameron Torres,79,1939-11-11,Female,s,17.34,367,Non-Vegetarian
Randy Taylor,38,1985-07-05,male,married,38.96,433,Non Vegetarian
Jean Hill,84,1939-08-25,Male,M,34.79,433,Non-Vegetarian
Glenda Armstrong,-77,2022-03-12,Female,Single,27.39,238,veg
Brandi Martin,-49,1991-09-24,female,Married,36.11,203,Non Vegetarian
Robert Maxwell,1,2022-07-09,F,Married,33.91,112,nv
Jackson Peterson,57,1966-08-25,Female,Married,33.94,52,veg
Stephanie Howard,81,1942-09-09,female,married,22.95,59,nv
Sarah Castro,89,1934-05-12,m,s,46.07,137,Vegetarian
Kathryn Sanchez,-92,1984-12-11,m,single,10.62,416,Vegetarian
Vanessa Patel,13,2010-04-17,Male,Single,47.34,274,nonveg
Tara Fitzgerald,105,1918-01-27,Female,s,19.22,71,non-veg
Juan Rose,9,2014-09-15,female,s,36.4,109,veg
Rachel Chambers,59,1964-09-11,male,s,18.08,191,Non Vegetarian
Caleb Flores,13,2010-09-15,Female,s,19.83,336,nv
William Mckinney,33,1990-08-02,female,M,47.68,31,non-veg
Kristy Montgomery,23,2000-12-26,F,Married,10.76,433,nv
Gina Rosales,94,1929-08-26,F,married,47.55,153,veg
Julia Stone,95,1928-09-18,Female,s,21.76,86,nonveg
Raymond Garza,34,1989-04-17,F,married,40.23,203,Non-Vegetarian
Anthony Kirk,108,1915-05-14,male,M,45.84,16,Non Vegetarian
Austin Kennedy,34,1989-06-11,m,Married,15.13,323,v
Karen Jones,38,2014-09-11,F,s,27.17,412,Non Vegetarian
Lisa Jackson,66,1957-12-19,female,Married,42.02,333,nv
Lynn Hill,17,2006-03-06,m,Married,32.16,429,Vegetarian
Anna Cox,103,1920-04-14,m,single,43.41,68,nv
Jenna Schmitt,-81,1951-09-29,m,single,34.29,16,nv
Mariah Mclaughlin,41,1982-11-18,F,married,11.69,301,nv
Joanna Nielsen,-66,1936-03-10,Female,s,12.17,317,non-veg
Andrew Jones,-15,2023-05-26,Male,married,40.92,299,nv
Monica Bennett,77,1946-07-08,male,married,25.9,492,nv
Claudia Fleming,0,2023-01-04,Male,married,43.63,10,v
Amanda Powell,81,1942-03-11,F,single,49.47,3,Vegetarian
Ross Owens,63,1960-10-17,F,s,18.48,283,veg
Crystal Smith,25,1998-09-15,Male,M,26.1,467,Non-Vegetarian
Lindsey Martinez,7,2016-07-03,male,M,18.57,192,Vegetarian
Emily Gamble,-88,1916-04-07,F,married,14.77,100,Non-Vegetarian
Elizabeth Yang,79,1944-11-05,F,Married,34.03,163,nv
Melissa Beck,66,1957-04-14,female,M,20.34,-10,Vegetarian
Justin Lucas,0,2023-08-29,female,single,48.62,73,non-veg
Melissa Garcia,19,2004-03-07,male,s,39.93,308,nonveg
Devin Leonard,69,1954-12-02,Female,married,23.85,7,Vegetarian
Elizabeth Jones,23,2000-01-04,male,Married,17.1,378,nonveg
Ronald James,100,1923-12-25,F,s,22.39,307,v
Amber Mercer,103,1920-10-18,female,single,22.06,-1,Vegetarian
Shane Santos,27,1996-12-04,Male,M,13.9,342,veg
Raymond Alvarez,35,1988-07-07,Female,Single,39.88,159,Vegetarian
Denise Jones,13,2010-10-28,m,s,48.38,386,Vegetarian
Mandy Richardson,9,2014-01-26,Male,single,11.81,186,v
Ryan Duke,75,1948-03-22,m,Single,34.22,381,veg
Mary Allen,82,1941-07-25,F,M,13.2,60,non-veg
Corey Lopez,-6,1972-04-06,male,Married,38.82,129,veg
Carla Holmes,84,1939-04-22,F,Single,43.88,151,Vegetarian
Antonio Gibson,17,2006-01-15,Female,M,44.59,285,non-veg
James Heath,87,1936-10-29,Female,Single,35.73,300,Non-Vegetarian
Stacie Weber,-12,1988-01-02,F,M,39.82,395,veg
Victoria Jordan,101,1922-05-10,Male,married,26.06,428,Non Vegetarian
Caitlin Lewis,-67,1926-05-03,female,Single,48.4,427,veg
Brad Keller,85,1938-07-19,female,single,20.14,415,non-veg
Mary Collins,77,1946-10-05,Male,M,17.99,340,Non Vegetarian
Matthew Acosta,69,1954-05-10,female,Single,47.2,235,nv
Barbara Delgado,-79,1911-01-08,female,s,33.71,425,nonveg
Dr. Shannon Lopez,-69,1915-05-06,m,M,38.09,17,veg
Sean Sanchez,75,1948-05-31,male,single,37.78,181,Non Vegetarian
Crystal Peterson,108,1915-01-31,Male,Married,32.88,46,Non Vegetarian
Gary Flores,46,1977-11-18,male,Single,47.22,255,v
Amanda Evans,32,1991-07-10,Female,M,22.24,392,nv
Christopher Everett,70,1953-05-28,m,s,19.42,83,Vegetarian
Laura Lynch,110,1913-08-15,F,single,17.1,180,non-veg
Tracy Shaw,48,1975-09-04,F,M,17.38,345,nonveg
Anthony Carter,-36,1991-12-10,male,M,49.96,212,nv
Dana Chaney,69,1954-11-03,F,M,20.19,439,Non-Vegetarian
Donald Snow,-33,1985-06-20,Male,Married,14.36,248,nonveg
Theresa Rogers,52,1971-06-10,m,single,37.91,388,non-veg
Richard Evans,67,1956-07-13,m,single,35.31,57,v
Franklin Morrison,33,1990-07-25,F,single,12.55,144,nonveg
Charles Crawford,29,1994-05-22,Female,M,26.95,247,v
William Mueller,66,1957-11-10,Female,M,40.39,57,Non Vegetarian
Brenda Clark,20,2003-10-12,Male,Married,30.74,336,non-veg
Zachary Fields,59,1964-04-09,F,Single,28.56,481,veg
Sharon Reed,82,1941-12-06,m,single,18.47,381,Non Vegetarian
Maria Rose,84,1939-12-15,F,single,44.68,103,v
Craig Brown,104,1919-01-10,m,married,34.83,100,non-veg
Matthew Hunter,90,1933-08-23,F,Single,38.88,99,Non Vegetarian
Kelly Baker,51,1972-09-07,Female,single,10.02,339,nv
Joseph Martin,-60,1931-08-17,male,s,30.14,395,Non-Vegetarian
Sarah Wade,18,2005-03-09,male,Married,37.13,264,Non-Vegetarian
Eric Christian,-31,1967-08-10,Male,s,38.98,342,veg
Bethany Burton,54,1969-07-22,m,Married,25.07,208,non-veg
Regina Flores,92,1931-09-10,Female,single,17.43,306,nv
Blake Bowman,114,1909-01-29,F,s,14.61,103,Non-Vegetarian
Shannon Smith,67,1956-04-16,F,Married,10.53,375,Non-Vegetarian
Erika Guerrero,62,1961-03-17,F,s,16.39,255,Non-Vegetarian
Tammy Zhang,36,1987-01-29,F,M,29.18,497,nv
James Hernandez,-30,1957-01-17,Female,single,30.46,95,non-veg
Katrina Cruz,102,1921-11-22,female,Single,42.77,204,Non-Vegetarian
Omar Evans,-90,1911-10-31,female,s,34.25,416,nonveg
Travis Edwards,39,1984-11-17,F,s,28.95,403,non-veg
Geoffrey Robinson,41,1938-08-14,male,single,46.43,212,nonveg
Matthew Thompson,54,1969-09-03,Male,Single,18.56,128,v
Kim Floyd,3,2020-07-04,m,single,41.56,370,Non Vegetarian
Megan Patel,6,2017-01-14,m,s,33.98,232,Vegetarian
Meghan Spears,5,2018-06-28,m,Married,29.71,362,veg
Robert Michael,84,1939-05-16,F,single,11.62,310,Non-Vegetarian
Diana Taylor,102,1921-03-06,F,M,26.95,348,non-veg
Linda Weber,26,1997-11-11,male,Single,12.1,302,nv
Erica Cooper,110,1913-12-02,F,s,26.51,90,v
Elizabeth Peters,-90,1992-02-29,Female,s,15.9,436,Vegetarian
James Pope,104,1919-02-04,male,single,37.01,23,v
Alison Carter,93,1911-06-13,m,married,43.82,300,non-veg
Dustin Eaton,-8,1975-05-25,m,Married,47.49,250,veg
Angela Zimmerman,67,1956-09-17,F,Single,33.76,98,v
Michael Rodriguez,56,1967-01-18,m,single,30.16,135,veg
Joseph Morris,40,1983-05-15,Male,married,11.26,401,nonveg
William Robbins,79,1989-11-28,female,Married,36.12,475,v
Stacey Dixon,76,1947-11-18,female,s,26.41,500,Vegetarian
Michelle Phillips,36,1987-09-03,male,s,25.8,465,Non-Vegetarian
David Riddle,88,1935-04-25,male,married,38.21,64,Vegetarian
Joseph Kim,104,1919-06-04,male,married,36.0,189,Non-Vegetarian
Lucas Davis,94,1908-10-04,Male,M,13.0,349,v
Cheryl Guerrero,37,1986-08-30,F,Married,47.46,232,non-veg
Lee Anderson,92,1949-11-04,Male,Married,24.86,176,Non Vegetarian
Daniel Lopez,46,1977-10-15,male,single,30.19,279,Non Vegetarian
Brian Savage,-10,1934-04-16,m,married,48.79,275,Non-Vegetarian
Amanda Cross,58,1965-12-05,male,M,45.17,-3,nv
Jerry Brown,23,2000-04-08,Male,s,47.29,407,nv
David Gomez,34,1963-11-02,male,single,24.62,123,nonveg
Patricia Williams,113,1910-10-30,male,Married,33.95,226,v
Dakota Harris,60,1963-05-06,Female,married,21.03,341,nonveg
Isaac Novak,10,2013-08-16,male,s,13.55,195,v
Matthew Roth,-4,1992-10-11,Male,s,25.04,359,v
Laura Roberts,39,1984-02-08,m,single,17.55,422,Non Vegetarian
Gavin Perez,88,1935-05-25,m,married,15.95,487,veg
William Nguyen,2,2021-06-27,Male,single,32.93,469,Vegetarian
Duane Brown,61,1962-08-01,male,single,46.38,22,nonveg
Diane Phillips,90,1933-06-09,female,s,16.72,343,veg
Jennifer Juarez,75,1948-10-29,male,married,11.13,212,v
Daniel Walker,72,1951-01-02,female,Single,48.83,244,nonveg
Jennifer Tran,106,1917-04-03,Female,s,11.67,212,veg
Thomas Foster,-43,1979-06-20,F,married,28.94,20,nonveg
Elizabeth Johnson,34,1989-02-19,female,Married,36.72,286,nonveg
Jesus Williams,1,2022-03-05,F,Single,12.06,383,non-veg
